Genre,Count,Avg_IMDB_Rating,Max_IMDB_Rating,Top_Series_Title
"Comedy, Crime, Thriller",1,8.0,8.0,Arsenic and Old Lace
"Comedy, Drama",35,7.871428571428571,8.4,3 Idiots
"Comedy, Drama, Family",7,7.985714285714286,8.5,Modern Times
"Comedy, Drama, Fantasy",4,7.875,8.1,OMG: Oh My God!
"Comedy, Drama, Music",3,7.866666666666667,8.0,La La Land
"Comedy, Drama, Musical",3,8.066666666666666,8.1,PK
"Comedy, Drama, Romance",31,7.877419354838709,8.6,La vita è bella
"Comedy, Drama, Thriller",3,8.133333333333333,8.6,Gisaengchung
"Comedy, Drama, War",5,8.059999999999999,8.4,The Great Dictator
"Comedy, Family",2,7.75,7.9,A Christmas Story
"Comedy, Family, Fantasy",1,7.8,7.8,Mary Poppins
"Comedy, Family, Romance",1,7.8,7.8,Bringing Up Baby
"Comedy, Fantasy, Romance",3,7.8,8.0,Groundhog Day
"Comedy, Horror",2,7.800000000000001,7.9,Shaun of the Dead
"Comedy, Music",1,7.9,7.9,This Is Spinal Tap
"Comedy, Music, Musical",2,7.75,7.9,A Night at the Opera
"Comedy, Music, Romance",1,8.2,8.2,Some Like It Hot
"Comedy, Musical, Romance",1,8.3,8.3,Singin' in the Rain
"Comedy, Musical, War",1,7.8,7.8,Duck Soup
"Comedy, Mystery, Romance",1,7.9,7.9,Charade
"Comedy, Romance",7,8.028571428571428,8.3,Amélie
"Comedy, War",2,7.949999999999999,8.2,To Be or Not to Be
"Comedy, Western",1,7.7,7.7,Blazing Saddles
"Crime, Drama",26,8.157692307692308,9.2,The Godfather
"Crime, Drama, Fantasy",3,8.066666666666666,8.6,The Green Mile
"Crime, Drama, Film-Noir",5,8.059999999999999,8.3,Double Indemnity
"Crime, Drama, History",1,7.8,7.8,Mississippi Burning
"Crime, Drama, Horror",1,8.0,8.0,Les diaboliques
"Crime, Drama, Music",1,8.3,8.3,Andhadhun
"Crime, Drama, Musical",1,8.0,8.0,Dancer in the Dark
"Crime, Drama, Mystery",27,7.966666666666667,8.6,Se7en
"Crime, Drama, Romance",5,7.82,8.0,Bin-jip
"Crime, Drama, Sci-Fi",1,8.3,8.3,A Clockwork Orange
"Crime, Drama, Thriller",28,7.946428571428571,8.6,The Silence of the Lambs
"Crime, Film-Noir, Mystery",1,7.9,7.9,The Big Sleep
"Crime, Film-Noir, Thriller",1,7.9,7.9,Strangers on a Train
"Crime, Mystery, Thriller",3,8.133333333333333,8.5,The Usual Suspects
"Crime, Thriller",3,7.966666666666666,8.2,Dial M for Murder
Drama,85,7.975294117647058,9.3,The Shawshank Redemption
"Drama, Family",3,8.233333333333334,8.4,Taare Zameen Par
"Drama, Family, Fantasy",2,8.15,8.6,It's a Wonderful Life
"Drama, Family, Musical",3,7.866666666666667,8.0,Fiddler on the Roof
"Drama, Family, Sport",2,8.25,8.3,Bacheha-Ye aseman
"Drama, Fantasy",1,8.1,8.1,El ángel exterminador
"Drama, Fantasy, History",1,8.2,8.2,Det sjunde inseglet
"Drama, Fantasy, Horror",1,8.3,8.3,Tumbbad
"Drama, Fantasy, Music",2,7.949999999999999,8.1,Pink Floyd: The Wall
"Drama, Fantasy, Mystery",2,7.75,7.9,The Man from Earth
"Drama, Fantasy, Romance",4,7.875,8.0,Der Himmel über Berlin
"Drama, Fantasy, War",1,8.2,8.2,Pan's Labyrinth
"Drama, Film-Noir",4,8.1,8.4,Sunset Blvd.
"Drama, Film-Noir, Mystery",2,8.0,8.0,In a Lonely Place
"Drama, Film-Noir, Romance",2,7.800000000000001,7.9,Notorious
"Drama, History",3,8.033333333333333,8.1,Kumonosu-jô
"Drama, History, Music",1,7.7,7.7,Joyeux Noël
"Drama, History, Mystery",1,7.8,7.8,Das weiße Band - Eine deutsche Kindergeschichte
"Drama, History, Romance",2,8.1,8.1,Dà hóng denglong gaogao guà
"Drama, History, Thriller",4,7.85,8.0,JFK
"Drama, History, War",6,7.766666666666667,8.0,Kagemusha
"Drama, Horror",4,8.0,8.4,The Shining
"Drama, Horror, Mystery",1,7.7,7.7,The Birds
"Drama, Horror, Sci-Fi",4,7.725,7.8,Bride of Frankenstein
"Drama, Horror, Thriller",4,7.775,8.1,What Ever Happened to Baby Jane?
"Drama, Music",6,8.033333333333333,8.5,Whiplash
"Drama, Music, Musical",3,7.8,7.9,All That Jazz
"Drama, Music, Mystery",1,7.9,7.9,Trois couleurs: Bleu
"Drama, Music, Romance",7,7.914285714285714,8.1,La leggenda del pianista sull'oceano
"Drama, Musical",1,8.4,8.4,Anand
"Drama, Mystery",4,8.0,8.3,Citizen Kane
"Drama, Mystery, Romance",6,7.949999999999999,8.2,El secreto de sus ojos
"Drama, Mystery, Sci-Fi",5,8.040000000000001,8.5,The Prestige
"Drama, Mystery, Thriller",9,7.922222222222222,8.4,The Lives of Others
"Drama, Mystery, War",2,8.350000000000001,8.4,Apocalypse Now
"Drama, Romance",37,7.935135135135136,8.8,Forrest Gump
"Drama, Romance, Sci-Fi",2,8.15,8.3,Eternal Sunshine of the Spotless Mind
"Drama, Romance, Thriller",2,7.85,8.1,Ah-ga-ssi
"Drama, Romance, War",4,8.025,8.5,Casablanca
"Drama, Sci-Fi",6,7.933333333333334,8.3,Metropolis
"Drama, Sci-Fi, Thriller",4,7.7,7.8,Gattaca
"Drama, Sport",6,7.8999999999999995,8.1,Million Dollar Baby
"Drama, Thriller",14,7.857142857142857,8.1,Pink
"Drama, Thriller, War",3,8.1,8.3,1917
"Drama, Thriller, Western",1,7.9,7.9,High Noon
"Drama, War",15,8.073333333333332,8.6,Saving Private Ryan
"Drama, War, Western",1,7.6,7.6,Giù la testa
"Drama, Western",5,7.9799999999999995,8.4,Django Unchained
"Family, Fantasy, Musical",1,7.8,7.8,Willy Wonka & the Chocolate Factory
"Family, Sci-Fi",1,7.8,7.8,E.T. the Extra-Terrestrial
"Fantasy, Horror",1,7.9,7.9,Nosferatu
"Fantasy, Horror, Mystery",1,8.1,8.1,Das Cabinet des Dr. Caligari
"Film-Noir, Mystery",1,8.0,8.0,The Maltese Falcon
"Film-Noir, Mystery, Thriller",1,8.1,8.1,The Third Man
"Film-Noir, Thriller",1,7.8,7.8,Shadow of a Doubt
Horror,2,7.9,8.0,The Exorcist
"Horror, Mystery, Sci-Fi",1,8.1,8.1,The Thing
"Horror, Mystery, Thriller",4,7.85,8.5,Psycho
"Horror, Sci-Fi",2,8.05,8.4,Alien
"Horror, Thriller",2,7.800000000000001,7.9,Night of the Living Dead
"Mystery, Romance, Thriller",1,8.3,8.3,Vertigo
"Mystery, Sci-Fi, Thriller",2,7.8,8.0,Twelve Monkeys
"Mystery, Thriller",9,7.977777777777778,8.4,Memento
Thriller,1,7.8,7.8,Wait Until Dark
Western,4,8.35,8.8,"Il buono, il brutto, il cattivo"
